제목,구분,카테고리,지역,연령,성별
나를 위한 썬캐쳐 만들기(모집마감),프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중장년 1인가구 소셜다이닝 '행복한 밥상'] (마감),프로그램,기타,강서구,"40,50,60,70,80,90,100","남성,여성"
1인가구 탁구 동아리 참여자 모집,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[금천구] 솔로NOT홀로 1인가구 심리상담,상담,기타,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마포구]사회적 관계망 지원사업 '끼리끼리' 참여자 모집 (모집 마감),소모임,외로움,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[송파구1인가구지원센터]관계개선프로그램 '오늘부터 밥친',프로그램,기타,송파구,"20,30","남성,여성"
1인가구 프로그램 [우리동네 걸어'봄'] 참여자 모집,프로그램,기타,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[금천구] 솔로NOT홀로 1인가구 심리상담,상담,외로움,금천구,"0,10,20,20,30,40,50","남성,여성"
1인가구 '마음에 쉼표 하나' - 대인관계능력향상 집단상담,상담,기타,동대문구,"20,30,40,50","남성,여성"
★개인신청★ 사회적관계망 프로그램 ‘1인가구 하고 싶은 거 다 해’,프로그램,기타,노원구,"20,30,40,50,60,70,80,90,100","남성,여성"
기적의 정리코칭(성북구민대상 참여자 가정방문 진행),프로그램,주거,성북구,"20,30,40,50","남성,여성"
[노원구] 에코싱글즈 3기,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
여성1인가구 안심지원사업 <지켜줘 안심홈>,프로그램,안전,금천구,"0,10,20,20,30,40,50,60,70,80,90,100",여성
[1인가구 안전확인] 1인가구 안전확인서비스를 소개합니다.,프로그램,안전,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[진행중] 코인세탁소 이용안내,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2024년 1인가구 심리상담,상담,외로움,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
광진구 1인가구지원센터 '광진 쉼네마',프로그램,기타,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 개인상담,상담,외로움,강북구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중장년 1인가구 소셜다이닝 '행복한 밥상'] (마감),프로그램,기타,강서구,"40,50,60,70,80,90,100","남성,여성"
중구 청년 1인가구 재무관리특강,프로그램,경제/일자리,중구,"20,30","남성,여성"
[동작구1인가구지원센터] 비대면 심리상담,상담,외로움,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
중장년 1인가구 소셜다이닝 <막걸리 안주 만들기>,프로그램,질병,중구,"40,50","남성,여성"
강북오랑 12월 티톡 '연기편' <강북오랑에서 즐겨보시게> 참여자 모집,프로그램,기타,강북구,"20,30","남성,여성"
2024 1인가구 상담 [공감 Login],상담,외로움,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[교육 및 공예] 6월클래스 인테리어 교육 및 라탄 공예,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[토요시네마] 5월 2 주차 영화 <100일 동안 100가지로 100퍼센터 행복 찾기> 상영 안내,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
사시사철-여름편 (천연 선크림 만들기),프로그램,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[서초구]존중과 행복이 가득한 싱글라이프 생활 '집'과 '집만들기' 참여자 모집,프로그램,주거,서초구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"(마감) 청춘, 프롤로그",프로그램,기타,성동구,"20,30","남성,여성"
[서대문구] 어서와 혼자는 처음이지? 프로그램 참여자 모집,프로그램,기타,서대문구,"20,30","남성,여성"
(마감) 2022년 성동 1인가구＇안심홈세트＇ 지원,프로그램,안전,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2024 상반기 1인가구지원사업 안내,프로그램,외로움,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[금천구] 1인가구 생활실태조사,행사,기타,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[서대문구] 상담 멘토링 프로그램 '멘티'모집,상담,기타,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 1인가구 적응지원 프로그램,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[구로구] 구로스테이(5월) (모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
서울시 1인가구 건강습관 만들기 '건강마루 멤버십' 모집,프로그램,기타,성동구,"20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 일상 속 감성더하기 <스마트폰 사진 클래스>,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
서울시 1인가구 중장년 자조모임 모집,프로그램,외로움,은평구,"40,50,60,70,80,90,100","남성,여성"
(마감) 너의 목소리가 들려,상담,외로움,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[구로구] 1인가구 교육 및 여가문화프로그램 '금요일에 만나요' 2차(모집완료),프로그램,기타,구로구,"0,10,20,20,30,40,50","남성,여성"
1인가구를 위한 동일이의 행복한 밥상,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
