제목,구분,카테고리,지역,연령,성별
[종로구]1인가구 사회적 관계망 지원 자조모임 '종로구로 놀러와' 참여자 모집(모집완료),소모임,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[도봉구] 봉랑채,소모임,기타,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
술꾼도시1인가구 2편,프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 2023년 1인가구 상담멘토링 멘티 모집,프로그램,외로움,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[강서구]1인가구 집단상담 '스트레스와 공생하기'(마감),상담,외로움,강서구,"20,30","남성,여성"
[종로구] 4월 1인가구 여가지원 '취미샘플러: 플라워 테라피' 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[관악구] 내게 무해한 마음가꾸기 참여자모집,프로그램,기타,관악구,"20,30,40,50,60,70,80,90,100","남성,여성"
[강서구] [중장년 1인가구 소셜다이닝 '행복한 밥상'] 1인분의 힘(마감),프로그램,기타,강서구,"40,50,60,70,80,90,100","남성,여성"
서울시 1인가구 건강습관 만들기 '건강마루 멤버십' 모집(모집인원:100명),프로그램,기타,성동구,"20,30,40,50,60,70,80,90,100","남성,여성"
[마감]기질 및 성격검사(TCI) 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 여성 지원사업 '싱글 레이디',프로그램,외로움,강북구,"40,50",여성
"[구로구] 요.맘.때, G(모집완료)",소모임,기타,구로구,"20,30,40,50","남성,여성"
[마음건강] 2023년 1차 심리검사 및 심리상담 지원신청,프로그램,안전,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 1인가구 미술치료 집단상담 '치료사의 아틀리에',프로그램,외로움,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[금천구] 1인가구 자치구 맞춤형 프로그램 <1인가구와 함께하개>,프로그램,외로움,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[멤버십데이] 팻션 사부작,프로그램,외로움,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"1인가구 재무관리 프로그램(20,30대 청년층)",프로그램,경제/일자리,양천구,"20,30","남성,여성"
[구로구] 1인가구 건강루틴 챌린지 '당신근처의친구' (4기) (모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
[관악구] 1인가구건강교육 '지금 우리 몸은' 참여자모집,프로그램,질병,관악구,"20,30,40,50,60,70,80,90,100","남성,여성"
성수미술관,프로그램,외로움,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(모집완료)[서대문구] 1인가구 김장하는 날 참여자 모집,프로그램,기타,서대문구,"0,10,20,20,30,40,50","남성,여성"
1인가구 전월세 안심계약 도움서비스 부동산교육 '집으로 가는 길(대면)',프로그램,주거,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[관악구] What's your M.B.T.I.<7월> 참여자모집,프로그램,기타,관악구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 힐링명상 '동일이의 득심득심' 참여자 모집,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 중장년(4050) 1인가구 신체 안정 운동 프로젝트 '동일이의 득근득근',프로그램,기타,동대문구,"40,50","남성,여성"
[1인가구인문학] 우린 일회용이 아니니까! 제로웨이스트편,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[도봉구] 중장년 이상 1인가구 재무교육 '티끌모아태산',프로그램,경제/일자리,도봉구,"40,50,60,70,80,90,100","남성,여성"
[도봉구] 이혼사별 1인가구 집단상담 '홀로서기:다시혼자',상담,외로움,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2023 서울시 1인가구 부채교육 (채무예방 관리 교육),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중랑구] 1인가구지원사업 자기관리 (8월),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구지원사업_교육 및 여가 문화 프로그램 '요리활동' 참여자 모집,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
'그림책방' 동아리원 모집,소모임,기타,강북구,"40,50,60,70,80,90,100","남성,여성"
1인가구 상담멘토링 '상담멘티'모집 안내,프로그램,기타,동대문구,"20,30,40,50","남성,여성"
2023년 1인가구 상담멘토링 멘티 모집,상담,외로움,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 초보 운전자를 위한 자동차 워크숍,프로그램,안전,중구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[대화소모임] 마포오랑 '두시티톡 팔레트-공포의 색 블랙' 참여자 모집,프로그램,외로움,마포구,"0,10,20,20,30","남성,여성"
[서대문구] 상담멘토링 프로그램 멘토 및 멘티 모집,상담,기타,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[송파구1인가구지원센터] 1인가구 사회적 관계망 형성 지원 자조모임 모집,소모임,기타,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[금천구] 1인가구 사회적관계망 모임(동아리) 지원 공모,소모임,외로움,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 2022 종로구 1인가구 상담멘토링사업 참여자 모집,상담,외로움,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 대상 셀프 집수리학교 2기 수강생 모집(선착순),프로그램,주거,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 1인가구 플로깅 프로젝트 '워크원(ONE)',프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
7월 멤버십 데이 '우면산 등산',소모임,외로움,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 중장년층을 위한 동일이의 행복한 밥상,프로그램,기타,동대문구,"40,50,60,70,80,90,100","남성,여성"
[마감] 우리동네환경지키미(천연비누만들기),프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
강동구1인가구지원센터 코인세탁소,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구1인가구지원센터] 1인가구 '전지적 가족시점' 참여자를 모집합니다.,프로그램,외로움,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[구로구] 1인가구 건강루틴 챌린지 '당신근처의친구'(모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
"[마감] 싱글, 달콤 겨울나기 ‘레몬?생강청 만들기’ 참여자 모집",프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[양천구] 부채관리 교육 참여자 모집(교육수강 시 영화관람기회 제공!),프로그램,경제/일자리,양천구,"20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 신체안정 운동 프로젝트 '동일이의 득근득근' 추가모집,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
나도! 사진작가 사진전 초대(모집종료),프로그램,기타,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[1인가구 인문학] 다양한 문화 속으로<세계 공예 여행>,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[동대문구] 2022 1인가구 안심장비지원사업'지켜줘,홈즈!' 대상자 모집",프로그램,안전,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[관악구] 진로적성검사기반 < 진로의 발견 > 참여자모집,프로그램,기타,관악구,"20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 재무교육,프로그램,경제/일자리,양천구,"40,50,60,70,80,90,100","남성,여성"
1인가구 자조모임(신청마감),소모임,질병,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 1인가구 관계증진 '관계의 기술',프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
가구수리소 - 생활목공반,프로그램,기타,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 주거환경 지원 ‘동일이의 러브하우스’,프로그램,주거,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 생활력 지수 향상 프로젝트 '동일이네 살림백서',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 상담멘토링 멘티 모집,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[강북구] 1인가구 전문상담 '마음쉼터' 모집,상담,외로움,강북구,"20,30,40,50","남성,여성"
[1인가구프로그램] 1인가구를 위한 생활로드맵-부채관리&자산관리편,프로그램,경제/일자리,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
강동구1인가구지원센터 포스터,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(모집완료)[서대문구] '취향의 발견 [공예편]' 프로그램 참여자 모집,프로그램,기타,서대문구,"20,30","남성,여성"
1인가구 특강(12월)_주거정보통(모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
자기개발프로그램_외롭지 않아. 크리스마스,프로그램,외로움,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 프로그램 'GREEN 지구 챌린저' 참여자 모집(마감),프로그램,기타,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
은평구 1인가구지원사업 '중장년 1인가구 디지털 역량강화교육' 신청자 모집,프로그램,기타,은평구,"40,50,60,70,80,90,100","남성,여성"
"[양천구] 1인가구 집단상담 프로그램 '함께, 마음채움' 참여자 모집(청년, 중장년 별도 운영)",상담,기타,양천구,"20,30,40,50","남성,여성"
1인가구 여가지원 3월 '취미공방' 가죽공예 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 전통시장 장보기 및 식재료 품앗이 '나눔의 미덕',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 셀프 집수리학교,프로그램,주거,서대문구,"0,10,20,20,30","남성,여성"
7월 <오늘을 사는 맛> 북큐레이션 게시,행사,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중랑구] 1인가구지원사업 자기관리(9월) 경제교육,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
가구제작기능사 자격증,프로그램,경제/일자리,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 힐링명상 '동일이의 득심득심' 참여자 모집,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[도봉구] 자기방어훈련2,프로그램,안전,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100",여성
"[진행중] 싱글배움터(베이커리, 필라테스, 홈카페) 참여자 모집",프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[도봉구] 청년재무교육 '티끌모아 태산',프로그램,기타,도봉구,"0,10,20,20,30","남성,여성"
완벽한 솔로생활 -10월-,프로그램,기타,용산구,"20,30,40,50","남성,여성"
1인가구를 위한 눈부신! 씽금라이프,프로그램,외로움,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(모집완료)[서대문구] 따로 또 같이 한(1)가위,프로그램,기타,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
정리수납 교육,프로그램,주거,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[광진구] 1인가구 사회적관계망 지원 자조모임 모집,소모임,기타,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[구로구] 1인가구 특강(7월)_마음처방전(모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
[종로구] 8월 1인가구 여가지원 '취미샘플러: 다도체험' 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[심리안정감]나를 알고 우리를 지키는 자기방어훈련,프로그램,안전,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 2023년 1인가구 4060 공감지대 프로그램,프로그램,외로움,동작구,"40,50,60,70,80,90,100","남성,여성"
1인가구를 위한 눈부신! 씽금라이프,프로그램,외로움,금천구,"20,30","남성,여성"
[송파구] 일상생활 프로그램 '어제보다 나은 반려인 되는 법',프로그램,기타,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
5월 공공공감 플리마켓,행사,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[도봉구] 도봉부엌,프로그램,기타,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 중년층 1인가구 정서지원 프로그램'#마음스트레칭' 추가모집,프로그램,기타,종로구,"40,50","남성,여성"
(마감) [성동당당] 노래한당,프로그램,외로움,성동구,"60,70,80,90,100","남성,여성"
2023년 광진구1인가구지원센터 사업설명회,행사,기타,광진구,"20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 1인가구 관계증진 '관계의 기술',프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 1인가구 집단상담 프로그램 '마음챙김 미술관'[프로그램 종료],상담,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[커뮤니티사업]공공공감 플리마켓,행사,기타,강남구,"20,30,40,50,60,70,80,90,100","남성,여성"
사시사철-가을편 (슬기로운 혼명족 생활),프로그램,외로움,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"성동구1인가구, 건강한 술문화: 전통주 빚기",프로그램,기타,성동구,"20,30,40,50,60,70,80,90,100","남성,여성"
[8월 토요시네마] <라이프 오브 파이> 상영,행사,외로움,강남구,"20,30,40,50,60,70,80,90,100","남성,여성"
[광진구] 1인가구지원사업 자기방어 훈련 '셀프 디펜스' 시즌2,프로그램,안전,광진구,"40,50","남성,여성"
1인가구 뿌꾸명화관-힐링 시네톡,프로그램,기타,강북구,"20,30,40,50","남성,여성"
1인가구 상담멘토링프로그램 멘티 모집,상담,기타,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[추가모집] [중랑구] 1인가구지원사업 자기관리 (8월),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[구로구] 구로스테이(11월) '무박여행'(모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
[마감] 싱글취미반(베이커리)와 함께하는 오트밀 곰 쿠키 나눔활동,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[광진구] 1인가구지원사업 '내집내꾸',프로그램,주거,광진구,"20,30","남성,여성"
성북 1인가구 따로 또 같이 (복합 프로그램),프로그램,기타,성북구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마포구]20~30대를 위한 '내 마음으로 떠나는 여행Ⅱ'(모집마감),프로그램,외로움,마포구,"20,30","남성,여성"
[진행중] 전월세 안심 계약 도움 서비스 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 재무관리 프로그램(교육/상담),프로그램,경제/일자리,성북구,"20,30","남성,여성"
[강서구]1인가구 프로그램 '나만의 셀프디펜스' (마감),프로그램,안전,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[서대문구] 안심장비지원사업 '난 안전하게 산다' 참여자 모집,프로그램,기타,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마음건강] 2023년 2차 심리검사 및 심리상담 지원신청,상담,외로움,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중랑구] 1인가구 안심장비지원사업,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[광진구] 1인가구지원사업 심리검사 집단상담 '나를 찾아줘' 시즌2,상담,기타,광진구,"20,30","남성,여성"
"［1인가구 재무관리교육］금융, 인바디",프로그램,질병,양천구,"40,50,60,70,80,90,100","남성,여성"
1인가구자조모임 '솔메이트' [모집완료],소모임,기타,용산구,"0,10,20,20,30,40,50","남성,여성"
(종료) 성동구청과 함께하는 찾아가는 폭력예방교육(12/8),프로그램,안전,성동구,"20,30,40,50,60,70,80,90,100","남성,여성"
(마감) [성동구] 1인가구 사회적관계망 지원 '뭉쳐서 하자',프로그램,기타,성동구,"20,30,40,50","남성,여성"
"1인가구 건강생활 클러버 모집(운동, 요리)",프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구]1인가구 집단상담 '스트레스 빼기 : 자기돌봄 더하기' -스트레스관리 집단상담-,상담,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
청년 1인가구 주거수리 '도봉 청년 셀프 집수리',프로그램,주거,도봉구,"20,30","남성,여성"
"[관악구] 영화보고, 쉬고, 마음을 채우는 '먹고 기도하고 사랑하자 in 관악' 참여자모집",프로그램,기타,관악구,"20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 안심장비지원사업 신청자 모집,프로그램,안전,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 힐링명상 '동일이의 득심득심' 참여자 모집,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 우리가 함께 만드는 플리마켓 '빵원마켓',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
함께해요! 1인가구 포틀럭파티 참여자 모집,행사,외로움,중구,"20,30,40,50","남성,여성"
중장년 1인가구 소셜다이닝 '행복한 밥상' 쿠킹클래스 제1회 양식편,프로그램,기타,영등포구,"40,50,60,70,80,90,100","남성,여성"
"[양천구] 1인가구 주거환경개선사업 생활시설 수리, 청소, 해충서비스 지원 '두드림' 신청자 모집(대상기준 확대)",프로그램,주거,양천구,"20,30,40,50,60,70,80,90,100","남성,여성"
[진행중] 요리활동(베이커리) 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
완벽한 솔로생활 -8월-,프로그램,기타,용산구,"20,30,40,50","남성,여성"
1인가구 행복한 밥상 2기 참여자 모집,프로그램,질병,광진구,"40,50,60,70,80,90,100","남성,여성"
[동작구] 2022년 1인가구 여가문화 프로그램 '워크원2',프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
재무교육 ‘부자될 결심’ 참여자 모집,프로그램,경제/일자리,관악구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구의 일상생활 능력 향상을 위한 동일이의 라이프코칭 -주거편-,프로그램,주거,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구지원사업 상담멘토링 멘티 모집,상담,외로움,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 프로그램 '1인가구를 위한 생활로드맵-재무관리편' 참여자 모집(마감),프로그램,경제/일자리,강서구,"20,30","남성,여성"
[종로구] 9월 1인가구 여가지원 '취미샘플러: 도예체험' 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[마포구] 홀로, 또 같이 참여자 모집(모집종료)",프로그램,외로움,마포구,"40,50","남성,여성"
[종로구] 청년층 1인가구 정서지원 프로그램 '#마음 스트레칭',프로그램,기타,종로구,"20,30","남성,여성"
[토요시네마] 4월4주차 영화 <베르네 부인의 장미정원> 상영 안내,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[공공공간활성화사업]토요시네마 운영 확대,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구지원사업 솔로NOT홀로 '인생내톤',프로그램,기타,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
동일이의 4생활 [반려식물 마리모 키우기],프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
중장년 1인가구 재무설계 및 노후관리 교육,프로그램,경제/일자리,광진구,"40,50,60,70,80,90,100","남성,여성"
1인가구 그림책으로 나를 알아보는 시간,상담,외로움,성북구,"20,30","남성,여성"
[광진구] 교육 및 여가문화 프로그램 - 안전해 광진! 셀프디펜스,프로그램,안전,광진구,"20,30,40,50,60,70,80,90,100",여성
［광진구］마음건강회복사업 함께상담(집단상담) '숨은 자아 찾기',상담,기타,광진구,"0,10,20,20,30,40,50","남성,여성"
[1인가구 프로그램] '1인가구 공간+' 참여자 추가 모집(모집 마감),프로그램,주거,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중랑구] 1인가구 10월 집단상담,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[관악구] What's your M.B.T.I.<10월> 참여자모집,프로그램,기타,관악구,"20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 집단상담 프로그램,프로그램,외로움,양천구,"40,50","남성,여성"
[광진구] 1인가구지원사업 '내집내꾸',프로그램,기타,광진구,"20,30","남성,여성"
[동대문구]1인가구 집단상담 '슬기로운 관계생활' -의사소통향상을 중심으로 대인관계증진을 위한 집단상담-,상담,기타,동대문구,"20,30,40,50","남성,여성"
[4월 1주차 토요시네마] 홍콩영화 <아비정전>,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[송파구] 사회적관계망 1인가구 네트워크 형성 지원사업 '지구 살림 살이2 -모두의 옷장',프로그램,기타,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[모집완료] 1인가구 봉사 자조 모임 '너나우리', '너랑나랑'",소모임,기타,구로구,"0,10,20,20,30,40,50,60,70,80,90,100",여성
[멤버십데이] 2월 멤버십데이 '당신의 마니또는 누구?',프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 중장년 자기돌봄 동물인형치료 '나를 돌보는 시간',프로그램,기타,도봉구,"40,50,60,70,80,90,100","남성,여성"
내가 꿈꾸는 그집_홈스타일링 교육,프로그램,주거,양천구,"20,30,40,50,60,70,80,90,100","남성,여성"
[강서구]1인가구 프로그램 '스위트홈Ⅱ-홈인테리어편' (마감),프로그램,주거,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 안심장비지원사업 신청자 모집,프로그램,안전,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[강북구] 1인가구 동아리 '강북멋쟁이' 모집(모집완료),소모임,외로움,강북구,"20,30,40,50","남성,여성"
[1인가구 인문학] 다양한 문화 속으로<세계 공예 여행>,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 1인가구 자립적 생활능력 향상 프로그램 '생활의 기술',프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[모집기간 연장] 1인가구 친구찾기 '1인가구의 밤',프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
첫독립준비 1인가구 재무교육,프로그램,경제/일자리,노원구,"0,10,20,20,30","남성,여성"
[중랑구] 1인가구지원사업 10월클래스,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1:1 상담 참여자 모집,상담,외로움,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 미술 프로그램,프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중랑구] 9월 신체활동 요가 및 명상(비대면),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
행복한 1인가구 동아리 <함께할 결심>,소모임,기타,관악구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"퇴근후, 러닝크루 4-5월 참여자 모집",프로그램,외로움,양천구,"0,10,20,20,30,40,50","남성,여성"
자기돌봄-너와 나의 관계 (DISC유형검사) 추가모집,프로그램,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 10월 1인가구 여가지원 '취미샘플러: 취미미술' 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구1인가구지원센터] 섭식장애 집단상담 '마음챙김 식습관' 참여자 모집,상담,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[모집마감] [중랑구] 10월 신체활동 프로그램 칼림바,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[커뮤니티사업] 신규 회원 대상 <우리 센터 길라잡이>,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[강서구 1인가구집단상담] 마음 力 키우기 참여자 (추가) 모집,프로그램,외로움,강서구,"20,30","남성,여성"
강북오랑 2월 티톡 '2023년 사업소개편!' <강북오랑에 어서오시게> 참여자 모집,프로그램,기타,강북구,"20,30","남성,여성"
"퇴근후, 러닝크루 참여자 모집",프로그램,외로움,양천구,"0,10,20,20,30","남성,여성"
[동대문구] 우리가 함께 만드는 플리마켓 '빵원마켓',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[모집기간 연장] 1인가구 아카데미 '일상찾기',프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마음건강] 1인 청년가구 심리 지원 프로그램<마음톡톡> 참여자 모집,프로그램,외로움,강남구,"20,30","남성,여성"
3월 특강 '나의 마음방패' (모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
[동대문구]1인가구 심리상담 '동일이의 비밀상담소',상담,안전,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[일상생활프로그램'도전!진짜어른원정대',프로그램,기타,송파구,"20,30","남성,여성"
[양천구] 1인가구 집단상담프로그램 '나를 만나는시간' 참여자 모집,상담,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 상담 '구로온(溫)마음',프로그램,기타,구로구,"20,30,40,50","남성,여성"
금천구 1인가구지원센터 공모전,프로그램,기타,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 1인가구 캠페인 '1인가구 행복나눔 나누GO' 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
셀프케어를 위한 마음챙김명상 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[성동당당] 순간을 담당,프로그램,외로움,성동구,"40,50","남성,여성"
전월세 안심계약 도움 서비스 참여자 모집,상담,주거,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
［광진구］마음건강회복사업 '안녕 알림' 유선상담 신청자 모집,상담,외로움,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[청년 1인가구 프로그램] '나로 채우는 스케치북' 참여자 모집 연장,프로그램,기타,강서구,"20,30","남성,여성"
강동구1인가구지원센터 2022년 프로그램만족도조사 및 2023년 욕구조사,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구를 위한 동일이의 행복한 밥상 11월 특별회기,프로그램,주거,동대문구,"20,30,40,50,60,70,80,90,100","남성,여성"
20-30 1인가구 재무관리 프로그램(교육/상담),프로그램,경제/일자리,성북구,"20,30","남성,여성"
